Designator,Footprint,Quantity,Value,LCSC Part #
"ANT1, ANT2, ANT3, ANT4, ANT5, ANT6",U.FL-R-SMT-1,6,U.FL-R-SMT-1,C88374
"C1, C10, C11, C17, C18, C2, C25, C26, C30, C31, C32, C33, C36, C38, C39, C45, C46, C47, C9",0402,19,100nF,C307331
"C12, C14, C19, C23, C5, C7",0603,6,150pF,C1594
"C13, C20, C8",0603,3,330pF,C1664
"C15, C22, C6",0603,3,220pF,C1603
"C16, C21, C3",0603,3,1nF,C1588
"C24, C27, C37",0603,3,100nF,C14663
"C28, C29",0603,2,33pF,C1663
"C34, C41, C43",CP_EIA-3216-18_Kemet-A,3,10uF,C7171
"C35, C40",0603,2,2.2uF,C23630
C4,0805,1,47pF,C14857
"C42, C44",CP_EIA-3528-21_Kemet-B,2,33uF,C128342
"D1, D10, D11, D2, D3, D4, D5, D6, D7, D8, D9",0603,11,LED-RED,C94869
"D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D50, D51",0603,40,LED-G,C125093
FB1,0603,1,120Ω@100MHz ,C127301
J1,RJ45_Amphenol_RJHSE5380,1,RJ45,C464586
J12,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,1,Conn_01x06,C265405
J8,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,C295747
"L1, L2, L3, L4, L5, L6",0805,6,1uF,C1042
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,2N7002,C8545
"R1, R15, R16, R29, R30, R31, R34, R36, R38, R40, R42, R44, R46, R48",0603,14,100R,C22775
"R10, R2, R6",0603,3,510R,C23193
"R11, R3, R7",0603,3,49R9,C23185
"R12, R13",0805,2,1K5,C4310
R14,0805,1,330R,C17630
R17,0805,1,20R,C17544
"R18, R21",0603,2,130K,C22795
"R19, R20, R22, R24, R5, R54",0603,6,1K0,C21190
R23,0805,1,22K,C17560
R25,0603,1,270R,C22966
R26,0603,1,22R0,C23345
"R27, R28, R32, R33, R35, R37, R39, R41, R43, R45, R47",0603,11,4K7,C23162
R4,0805,1,200R,C17540
"R49, R50, R51, R52, R53, R55, R56, R57",0603,8,82R,C23255
"R58, R59",0603,2,1K5,C22843
R8,0805,1,270R,C17590
R9,0805,1,2R,C17606
RV1,Potentiometer_Bourns_3314G_Vertical,1,20K,C780217
"S1, S2",SW_147873-2,2,147873-2,
"U1, U4, U5",SOT-23-6,3,ADA4807-1,C2058411
U10,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U11,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U12,DPAK172P1054X200-6N,1,BA50DD0WHFP-TR,C509718
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-RMN,C83836
"U2, U3, U7",SOT-23-5,3,SN74LVC1G14DBV,C133145
"U6, U8",SC70_DCK_TEX,2,TLV3603DCKR,C5213955
U9,SOT-89-3,1,L78L05_SOT89,C71136
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz ,C13738
