Designator,Mid X,Mid Y,Rotation,Layer
ANT1,90.181022,-115.579848,0.0,top
C1,137.319235,-98.222203,0.0,top
C10,108.29799,-107.35865,0.0,top
C2,137.271161,-92.405248,180.0,top
C3,157.983514,-92.659545,0.0,top
C4,144.697887,-89.329286,0.0,top
C5,152.623673,-108.06983,270.0,top
C6,145.463826,-108.446409,180.0,top
C7,138.977871,-100.266023,180.0,top
C8,136.767354,-86.675343,180.0,top
D1,173.933604,-88.566867,90.0,top
J1,136.363886,-80.780962,90.0,top
Q1,163.60435,-88.633247,0.0,top
R1,167.08333,-89.510755,90.0,top
R2,136.878531,-89.512474,180.0,top
R3,136.750447,-84.923017,0.0,top
R4,97.86931,-115.353906,0.0,top
R5,98.293471,-111.350893,0.0,top
R6,118.600023,-113.658119,0.0,top
TP1,129.422511,-84.217344,0.0,top
TP2,129.849418,-90.905553,0.0,top
TP3,115.58179,-107.705498,0.0,top
U1,148.794177,-98.014377,0.0,top
U2,108.72721,-114.881047,0.0,top
Y1,137.370255,-95.340307,0.0,top
Y2,95.090975,-89.681705,0.0,top
